,text,Clean_Tweets
0,"RT @Floki_Pup: @elonmusk @BillyM2k Here I am, @elonmusk 
You are a great CEO as well!
We are a dream team 🤗

Design credit: @ArtByComz 

#F…", puphere i am you are a great ceo as well we are a dream team design credit 
1,"RT @nathannotdev: @elonmusk @BillyM2k Yes, indeed you are the person who will be waiting to become the BUFF DOGE family, sir 😂 

#BuffDogeC…",yes indeed you are the person who will be waiting to become the buff doge family sir 
2,RT @FlokiZap: @elonmusk @BillyM2k He would also make a great Viking ⚡ https://t.co/LTfGgq265g,he would also make a great viking 
3,"1. The time has come!
NFT Coming soon!

Buy your collectibles here:
https://t.co/BccFCiIoZW

@binance @BabyDogeCoin… https://t.co/sRc4fEMJBD",1 the time has come nft coming soon buy your collectibles here 
4,RT @itsALLrisky: Super $DOGE @elonmusk https://t.co/oSXUYx4V0l,super doge 
5,@therestofher @elonmusk Please post one. Interested., please post one interested 
6,@RGBLighting @arora4people @elonmusk @DrEliDavid of course regularly!!, of course regularly 
7,@DebbieRumsey1 @elonmusk Oh no!! I’m soooo sorry! 😩 ❤️❤️, oh no i m soooo sorry 
8,RT @BillyM2k: Nomination for new fake chairman of the board is none other than @elonmusk - I believe he knows a little something about mone…,nomination for new fake chairman of the board is none other than i believe he knows a little something about mone 
9,"RT @Dogenhoge: Respect to all these projects with millions upon millions of dollars in dev wallets and huge marketing budgets.

but $HOGE d…",respect to all these projects with millions upon millions of dollars in dev wallets and huge marketing budgets but hoge d 
10,@dogeofficialceo @elonmusk @BillyM2k @Kristennetten @greg16676935420 @EvaFoxU @suchHODL @DogecoinNorway… https://t.co/G6V5YmPeAM, 
11,"RT @DBACurrency: Hi @ElonMusk

We hope you are well and your lil one? 😍 this is your people back home. DBA is a crypto project from South A…",hi we hope you are well and your lil one this is your people back home dba is a crypto project from south a 
12,#Germany should take note of this market loses and block permanently @Tesla factory to avoid the fraud through Euro… https://t.co/kOOCRIexHG, should take note of this market loses and block permanently factory to avoid the fraud through euro 
13,@michael_w_busch @NASA Maybe @SpaceX SN 33 could push it using those new-fangled vacuum raptors. Boring company equ… https://t.co/SqotVd9sjD, w busch maybe sn 33 could push it using those new fangled vacuum raptors boring company equ 
14,@retiredshiller @elonmusk @BillyM2k Amazing, amazing
15,RT @ShibInform: Retweet If U Want @elonmusk To Accept $Shib!!💯💎🙌,retweet if u want to accept shib 
16,@KirtanP61369742 @AutonomousHoag @elonmusk @MoodyHikmet @PhilKoopman It's more like the Tuskegee Syphilis Study..., it s more like the tuskegee syphilis study 
17,@remo_dev @doge1moon_CEO @Mrs_SojKing @Tesla @elonmusk Much not nice, dev ceo sojking much not nice
18,@elonmusk hmmmmmm how about real life iron man suit power off of powder sugar..., hmmmmmm how about real life iron man suit power off of powder sugar 
19,"RT @CryptoKingPin7: HUUUUUGEE GEM 🔥🔥🔥 @Lil_Doge_Floki 10,000x GAINS imminent. @elonmusk’s #LilDogeFloki reporting for duty! 🥰 ❤️ 400+ Holde…",huuuuugee gem doge floki 10 000x gains imminent s reporting for duty 400 holde 
20,"@Ali_Tesla585 @elonmusk i don't know if he is allowed, but it would be right.", tesla585 i don t know if he is allowed but it would be right 
21,@retiredshiller @elonmusk @BillyM2k Wooow great project👍, wooow great project 
22,"RT @nathannotdev: @elonmusk @BillyM2k Yes, indeed you are the person who will be waiting to become the BUFF DOGE family, sir 😂 

#BuffDogeC…",yes indeed you are the person who will be waiting to become the buff doge family sir 
23,"RT @Floki_Pup: @elonmusk @BillyM2k Here I am, @elonmusk 
You are a great CEO as well!
We are a dream team 🤗

Design credit: @ArtByComz 

#F…", puphere i am you are a great ceo as well we are a dream team design credit 
