,lang,text,Clean_Tweets
0,en,"The US Federal Reserve note is on its last leg. Who’s going to be caught holding the bag when it goes to zero? What would you bet on going to zero first XRP, Bitcoin or the US Federal Reserve note?",the us federal reserve note is on its last leg who s going to be caught holding the bag when it goes to zero what would you bet on going to zero first xrp bitcoin or the us federal reserve note 
4,en,"RT @Mohamma86503854: @binance $feg token AMA

Today 8pm UTC 

@FEGtoken 
@lifeisdefi 

#SmartDeFi #Launchpad #BSCGem #BSCGems #FEG #trading…", feg token amatoday 8pm utc 
6,en,"RT @AirdropStario: 💧 Mylivn Coin Airdrop 💧

 Listed on: CoinMarketCap

🏆 Task:        ➕Up to 800 MLVC (~$52)

👨‍👩‍👧 Referral:  ➕ 3,750 MLVC…", mylivn coin airdrop listed oncoinmarketcap task up to 800 mlvc 52 referral 3 750 mlvc 
8,en,"Wonderful project, this project is very good and this projector has a lot of attractions, so hopefully the project will be better in the future 😃😃
@GurumeetBarnwal 
@Sandeep29130717 
@KetanSh34805973 

#Airdrops #Bitcoin #SafeMoney #AirdropDet https://t.co/j65j9zcRIv",wonderful project this project is very good and this projector has a lot of attractions so hopefully the project will be better in the future bitcoin 
9,en,"RT @airdropinspect: New airdrop: Doom Hero
Total Reward: $5,000 worth of DHD/DHG
Rate: ⭐️⭐️⭐️⭐️
Winners: 1,000 Random &amp; Top 100
Distributio…",new airdropdoom herototal reward 5 000 worth of dhd dhgrate winners1 000 random amp top 100distributio 
10,en,"RT @AirdropDet: 🔍 New #Airdrop: SafeMoneyBSC

💲Reward: Up to 950M SafeMoney (~$38)+250B SafeMoney (~$10K) referral pool

🔴Start the airdrop…", new safemoneybsc rewardup to 950m safemoney 38 250b safemoney 10k referral pool start the airdrop 
11,en,"RT @MegaBitcoinBTC: MegaBitcoin Presale in pinksale on 17th December at 5 pm utc. 
💎KYC Done . 
💎Audited contract. 
1) 11% Bitcoin Rewards…",megabitcoin presale in pinksale on 17th december at 5 pm utc kyc done audited contract 1 11 bitcoin rewards 
12,en,"RT @BitcoinFear: Bitcoin Fear and Greed Index is 18 ~ Extreme Fear
Current price: $49,244 https://t.co/qVWWwgNLTY",bitcoin fear and greed index is 18 extreme fearcurrent price 49 244 
13,en,"@Amyjasmine0916 @Yuji17647967 @bijanghasemi8 Btc camp is a cult built on a fake narrative. BSV is the real bitcoin.

Watch Craig lawyers speaking about the outcome of the court case.
https://t.co/i7WuxqKCJP", btc camp is a cult built on a fake narrative bsv is the real bitcoin watch craig lawyers speaking about the outcome of the court case 
16,en,"RT @SafeMoneyBSC_: @SafeMoneyBSC_  🚀🚀

📢📢 Announcing SafeMoneyBSC_ Biggest $200K Airdrop 📌📌

💲Reward: Up to 950M SafeMoney (~$38)+250B Safe…", announcing safemoneybsc biggest 200k airdrop rewardup to 950m safemoney 38 250b safe 
17,en,"RT @TomerStrolight: You may forget about your interactions with #Bitcoin, but Bitcoin will never forget its interactions with you. It will…",you may forget about your interactions with bitcoin but bitcoin will never forget its interactions with you it will 
18,en,"RT @SafeMoneyBSC_: @SafeMoneyBSC_  🚀🚀

📢📢 Announcing SafeMoneyBSC_ Biggest $200K Airdrop 📌📌

💲Reward: Up to 950M SafeMoney (~$38)+250B Safe…", announcing safemoneybsc biggest 200k airdrop rewardup to 950m safemoney 38 250b safe 
19,en,"RT @Crypto_Woof: Our 3rd Giveaway Is Live, This Time It’s 10x Bigger💰

💵500 Worth of Bitcoin Will Be Sent to a One Lucky Person.

To Partic…", woofour 3rd giveaway is live this time it s 10x bigger 500 worth of bitcoin will be sent to a one lucky person to partic 
20,en,"RT @saNFTBS: @krakenfx #bluesparrowtoken ✈️
#bluesparrow 🚀
@BlueSparrowETH
#bitcoin 
#crypto 

🌙🔥🚀🚀
Blue_Sparrow_makes_everyone_happy
This_…", bitcoin blue sparrow makes everyone happythis 
21,en,"RT @CoinCornerMolly: Paying for a coffee with #Bitcoin Lightning NFC and a pair of @mtsocks ⚡️🧦

ANOTHER WORLD FIRST?!?! 👀 https://t.co/E4c…",paying for a coffee with bitcoin lightning nfc and a pair of another world first 
24,en,"Bitmart pledges to reimburse hack victims as crypto
community voices support   https://t.co/giwQf2w7dH   #Bitcoin",bitmart pledges to reimburse hack victims as cryptocommunity voices support bitcoin
26,en,"RT @SafeMoneyBSC_: @SafeMoneyBSC_  🚀🚀

📢📢 Announcing SafeMoneyBSC_ Biggest $200K Airdrop 📌📌

💲Reward: Up to 950M SafeMoney (~$38)+250B Safe…", announcing safemoneybsc biggest 200k airdrop rewardup to 950m safemoney 38 250b safe 
27,en,"Metaverse opens the gateway for luxury NFTs to become a
multi-billion market   https://t.co/jIYhOrE8TS   #Bitcoin",metaverse opens the gateway for luxury nfts to become amulti billion market bitcoin
28,en,"Toei YouTube Blitz Shows That ‘Law of Content ID’ Can
Trample Fair Use   https://t.co/Qbssl0Cq7q   #Bitcoin",toei youtube blitz shows that law of content id cantrample fair use bitcoin
29,en,"Why Crypto Savings Accounts Are Gaining In
Popularity   https://t.co/RFAsAP0yVS   #Bitcoin",why crypto savings accounts are gaining inpopularity bitcoin
30,en,"RT @AirdropStario: 💧 Swincoin Airdrop 💧

📍 Listed on: PancakeSwap

🏆 Task:          ➕ $20,000 worth of SWIN » Total airdrop pool.

👨‍👩‍👧 Re…", swincoin airdrop listed onpancakeswap task 20 000 worth of swin total airdrop pool re 
32,en,RT @jimmysong: Bitcoin takes out the financial middlemen.,bitcoin takes out the financial middlemen 
33,en,"RT @SafeMoneyBSC_: @SafeMoneyBSC_  🚀🚀

📢📢 Announcing SafeMoneyBSC_ Biggest $200K Airdrop 📌📌

💲Reward: Up to 950M SafeMoney (~$38)+250B Safe…", announcing safemoneybsc biggest 200k airdrop rewardup to 950m safemoney 38 250b safe 
34,en,"RT @easyeight08: YOU WILL YELL ""BEARMARKET"" AFTER EVERY 20-40% CORRECTIONS, AND THAT'S THE MAIN REASON WHY WE WILL NEVER SEE #BEARMARKET EV…",you will yell bearmarket after every 20 40 corrections and that s the main reason why we will never see ev 
35,en,"RT @TomerStrolight: If you think #Bitcoin doesn’t care about you, think again.

Who else protects you from the things it does without deman…",if you think bitcoin doesn t care about you think again who else protects you from the things it does without deman 
36,en,"RT @saNFTBS: @krakenfx Dogs cant fly but birds can🚀🚀
#bluesparrow 💥🔥
#crypto 
#bitcoin
#ETH
#BlueSparrow
#BlueSparrowtoken
#BlueSparrowComm…",dogs cant fly but birds can bitcoin 
37,en,"The manipulatooooor’s got u panicked 

#Bitcoin will pamp 
#Ethereum will pamp
#altcoins  will pamp https://t.co/zZgXXDsq24",the manipulatooooor s got u panicked bitcoin will pamp will pamp will pamp 
38,en,"RT @ad_platform: For First 1000 Users
Beledex Airdrop 
Reward 4$ to 10$ each 

Complete All Tasks
For AIRDROP Reward

1. Follow @ad_platfor…", platformfor first 1000 usersbeledex airdrop reward 4 to 10 each complete all tasksfor airdrop reward1 follow platfor 
39,en,"RT @Mohamma86503854: @binance @HHfegtastic $feg token AMA

Today 8pm UTC 

@FEGtoken 
@lifeisdefi 

#SmartDeFi #Launchpad #BSCGem #BSCGems…", feg token amatoday 8pm utc 
40,en,"RT @SafeMoneyBSC_: @SafeMoneyBSC_  🚀🚀

📢📢 Announcing SafeMoneyBSC_ Biggest $200K Airdrop 📌📌

💲Reward: Up to 950M SafeMoney (~$38)+250B Safe…", announcing safemoneybsc biggest 200k airdrop rewardup to 950m safemoney 38 250b safe 
41,en,"👋 A new block was found on the #Bitcoin network. We're at block height 713696, current #bitcoin price is $48559.95 and there are 210186872690011 #sats left to mine.", a new block was found on the bitcoin network we re at block height 713696 current bitcoin price is 48559 95 and there are 210186872690011 left to mine 
42,en,"RT @airdropinspect: New airdrop: Ftribe Fighters (F2C)
Total Reward: 1.8 Million F2C
Rate: ⭐️⭐️⭐️⭐️
Winners: 6,400 Random &amp; Top 200
Distrib…",new airdropftribe fighters f2c total reward1 8 million f2crate winners6 400 random amp top 200distrib 
