,author,date,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,https://www.facebook.com/bbcnews,,Indian PM Modi's Twitter hacked with bitcoin tweet,The Indian prime minister's account had a message stating that bitcoin would be distributed to citizens.,https://www.bbc.co.uk/news/world-asia-india-59627124,https://ichef.bbci.co.uk/news/1024/branded_news/5998/production/_122063922_mediaitem122063921.jpg,2021-12-12T10:59:57Z,"Image source, AFP via Getty Images
Image caption, Modi has has more than 70 million Twitter followers
Indian Prime Minister Narendra Modi's Twitter account was hacked with a message saying India ha… [+854 chars]",bbc-news,BBC News
1,EditorDavid,,Foreign Policy magazine: 'Bitcoin Failed in El Salvador.' Is the Answer More Bitcoin?,"""Bitcoin mining is a process of competitively wasting electricity to guess a winning number every 10 minutes or so,"" writes author David Gerard in Foreign Policy magazine. 

And he's got an equally negative take on Salvadoran President Nayib Bukele's experime…",https://slashdot.org/story/21/12/11/188219/foreign-policy-magazine-bitcoin-failed-in-el-salvador-is-the-answer-more-bitcoin,https://a.fsdn.com/sd/topics/bitcoin_64.png,2021-12-11T21:34:00Z,"""Bitcoin mining is a process of competitively wasting electricity to guess a winning number every 10 minutes or so,"" writes author David Gerard in Foreign Policy magazine.And he's got an equally nega… [+3170 chars]",,Slashdot.org
2,,,Late filers to lead Bitcoin mining-machine class action - Reuters,A federal judge in Manhattan on Thursday chose a Hong Kong couple to lead the securities-fraud lawsuit against Bitcoin mining machine manufacturer Canaan Inc even though they had filed the information to support their class leadership motion two weeks late.,https://www.reuters.com/legal/litigation/late-filers-lead-bitcoin-mining-machine-class-action-2021-12-10/,https://www.reuters.com/resizer/GE8IYv0lwmPOP_Ccil0z_TV0Ik8=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ILIVMYPNCFLAFPTKNVVDLWDZNY.jpg,2021-12-10T01:20:00Z,"<ul><li>
</li><li>
</li><li>
Kessler Topaz Meltzer &amp; Check, LLP
</li></ul>
The company and law firm names shown above are generated automatically based on the text of the article. We are imp… [+2603 chars]",reuters,Reuters
3,Tory Shepherd,,"Satoshi Nakamoto, Craig Wright and a bitcoin mystery in America","A US court case could have unmasked Australian as cryptocurrency inventor. But a jury found in his favour so the enigma remainsIn Budapest, there is a bust by the Danube River. The face is bronze, and blank, so people can see their own faces reflected back at…",https://amp.theguardian.com/technology/2021/dec/11/satoshi-nakamoto-craig-wright-and-a-bitcoin-mystery-in-america,https://i.guim.co.uk/img/media/0db051212f35d81200970e91c7ca13ee3c717dec/104_449_5695_3417/master/5695.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=e7f01adf5d9711c5775d7a0bd9ea87c5,2021-12-10T19:00:48Z,"In Budapest, there is a bust by the Danube River. The face is bronze, and blank, so people can see their own faces reflected back at them. It is wearing a hoodie, with the bitcoin logo on the chest.… [+9083 chars]",,The Guardian
4,Reuters Editorial,,"The Week in Numbers: flash crash, cash stash - Reuters.com","From a bitcoin flash crash, to Apple's secret deal with China, we round up the big numbers in business and finance over the week to December 10. Ilan Rubens has the story.",https://www.reuters.com/video/watch/idRCV00AJE1,https://static.reuters.com/resources/r/?d=20211210&i=RCV00AJE1&r=RCV00AJE1&t=2,2021-12-10T13:08:33Z,"Posted 
From a bitcoin flash crash, to Apple's secret deal with China, we round up the big numbers in business and finance over the week to December 10. Ilan Rubens has the story.",reuters,Reuters
5,,,"Column: Volatility, Fed undermine Bitcoin's inflation hedge claim: McGeever - Reuters","With annual U.S. inflation running at its highest since 1982, now would be the perfect time for Bitcoin to stand up and cement its status as a 'real' asset, a store of value and the hedge against inflation its enthusiasts claim.",https://www.reuters.com/markets/funds/volatility-fed-undermine-bitcoins-inflation-hedge-claim-mcgeever-2021-12-10/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=63,2021-12-10T18:32:00Z,"ORLANDO, Fla., Dec 10 (Reuters) - With annual U.S. inflation running at its highest since 1982, now would be the perfect time for Bitcoin to stand up and cement its status as a 'real' asset, a store … [+5195 chars]",reuters,Reuters
6,Entrepreneur en Español,,Cryptocurrency Expert Predicts Ethereum Will Outperform Bitcoin On The Market,Nicholas Merten posted a video on his YouTube channel in which he explained why he has this theory.,https://www.entrepreneur.com/article/402094,https://assets.entrepreneur.com/content/3x2/2000/1639163080-Ethereum.jpg,2021-12-10T19:05:25Z,"Nicholas Merten , an expert in cryptography, predicts that the digital currency ethereum will overtake bitcoin in the market after reaching its highest value since May 2018. He clarified that these e… [+769 chars]",,Entrepreneur
7,EditorDavid,,"Hard Drive With 7,500 Bitcoin Buried in Landfill. Can It Be Dug Up?","In 2013 a British man accidentally threw away a hard drive that contained 7,500 bitcoin. Today it'd be worth over $350 million, reports CNBC:

His name is James Howells. He's an IT worker from Wales... He once told NBC News, ""It is soul-destroying, to be hone…",https://yro.slashdot.org/story/21/12/12/0637228/hard-drive-with-7500-bitcoin-buried-in-landfill-can-it-be-dug-up,https://a.fsdn.com/sd/topics/bitcoin_64.png,2021-12-12T11:34:00Z,"In 2013 a British man accidentally threw away a hard drive that contained 7,500 bitcoin. Today it'd be worth over $350 million, reports CNBC:
His name is James Howells. He's an IT worker from Wales.… [+1721 chars]",,Slashdot.org
8,tmohamed@businessinsider.com (Theron Mohamed),,"'Rich Dad Poor Dad' author Robert Kiyosaki expects a market crash and economic crisis — and plans to buy gold, bitcoin, and real estate when prices tumble","The personal-finance guru, who has been warning of a crash for more than a year, plans to scoop up a range of assets on the cheap.",https://markets.businessinsider.com/news/stocks/rich-poor-dad-kiyosaki-market-crash-depression-gold-bitcoin-housing-2021-12,https://images2.markets.businessinsider.com/614c4616c2c9630018f5ec39?format=jpeg,2021-12-10T11:54:46Z,"Robert Kiyosaki.The Rich Dad Channel/YouTube
Robert Kiyosaki warned investors to brace for a sweeping market crash and painful economic downturn, and signaled he's planning to scoop up several asset… [+1645 chars]",business-insider,Business Insider
9,,,Softbank-backed Brazilian crypto company launches new venture unit - Reuters,"Softbank-backed Brazilian company 2TM, which runs the largest cryptocurrency exchange in Latin America, has launched a venture capital unit focusing on blockchain companies around the world,  the company's chief executive officer said in an interview.",https://www.reuters.com/markets/us/softbank-backed-brazilian-crypto-company-launches-new-venture-unit-2021-12-10/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=63,2021-12-10T14:00:00Z,"NEW YORK, Dec 10 (Reuters) - Softbank-backed Brazilian company 2TM, which runs the largest cryptocurrency exchange in Latin America, has launched a venture capital unit focusing on blockchain compani… [+2012 chars]",reuters,Reuters
