,lang,text,Clean_Tweets
0,en,"RT @BTCTN: If El Salvador had sold its gold reserves a year ago and bought #bitcoin, it would've been a $125 million gain in value, said th…",if el salvador had sold its gold reserves a year ago and bought bitcoin it would ve been a 125 million gain in value said th 
1,en,"RT @StackerSatoshi: #bitcoin is right on the edge of doing something big.
Both #bitcoin and #SPX right at massive resistance.

LIKE THIS TW…",bitcoin is right on the edge of doing something big both bitcoin and right at massive resistance like this tw 
2,en,"RT @StackerSatoshi: #bitcoin is right on the edge of doing something big.
Both #bitcoin and #SPX right at massive resistance.

LIKE THIS TW…",bitcoin is right on the edge of doing something big both bitcoin and right at massive resistance like this tw 
3,en,"@AirdropStario That is future bright project. There is no doubt this project will shine in future. Best wishes for this project🥰📣📣
Let's Join:♥️♥️
@philips338 @959htp @tunglucky77

#Airdrop #BSC #Bitcoin #ETH #OkLetsPlay #OKLP #Airdropstario", that is future bright project there is no doubt this project will shine in future best wishes for this project let s join bitcoin 
5,en,"RT @Vahid08004464: @binance #BlueSparrowETHE ❤️😍🔥😍❤️🔥
@BlueSparrowETH🚀🚀
 #BlueSparrowtoken🚀🚀 😍😍😍😍
#bitcoin 
#crypto 

The #bluesparrow make…", bitcoin the make 
6,en,"RT @thecowinu: Cow Inu Airdrop is here!

1st and 2nd place              : 500 Million CI each
3rd to 22nd place              : 1 Million CI…",cow inu airdrop is here 1st and 2nd place 500 million ci each3rd to 22nd place 1 million ci 
8,en,RT @BlueCornerCreas: ❤️‍🔥 check out my video on The latest cryptoverse happenings over the last 24hrs (or so) ▶️ https://t.co/2S3qkPSdHR ◀️…, check out my video on the latest cryptoverse happenings over the last 24hrs or so 
9,en,"RT @airdropinspect: New airdrop: Chalaxy Game (CLX)
Total Reward: 20,000 CLX
Rate: ⭐️⭐️⭐️⭐️
Winners: 2,000 Random
Distribution: after listi…",new airdropchalaxy game clx total reward20 000 clxrate winners2 000 randomdistributionafter listi 
11,en,"RT @AirdropStario: 💧 GrailPad Airdrop 💧

🏆 Task:          ➕ Up to 1000 GRAIL (~$15)

👨‍👩‍👧 Referral:   ➕ 5000 GRAIL (~$75) for the top 200…", grailpad airdrop task up to 1000 grail 15 referral 5000 grail 75 for the top 200 
12,en,"RT @AirdropStario: 💧 MetaRex 2nd Round Airdrop 💧

🏆 Task:          ➕ Up to 5000 wXVC

👨‍👩‍👧 Referral:   ➕ 0.01 ETH (~$40) for the top 15 re…", metarex 2nd round airdrop task up to 5000 wxvc referral 0 01 eth 40 for the top 15 re 
13,en,"RT @AirdropStario: 💧Cow Inu AIRDROP💧

🏆 Task:       ➕ 10 Billion CI » Total airdrop pool.

👨‍👩‍👧 Referral: ➕ 20 Points

🔛 Airdrop Link &amp; In…", cow inu airdrop task 10 billion ci total airdrop pool referral 20 points airdrop link amp in 
16,en,"RT @airdropinspect: New airdrop: Chalaxy Game (CLX)
Total Reward: 20,000 CLX
Rate: ⭐️⭐️⭐️⭐️
Winners: 2,000 Random
Distribution: after listi…",new airdropchalaxy game clx total reward20 000 clxrate winners2 000 randomdistributionafter listi 
17,en,"RT @JesseOlson: The last time $BTC.D broke out, #bitcoin price had a nice run through October &amp; into the peak of November 10th. 👀

- RSI is…",the last time btc d broke out bitcoin price had a nice run through october amp into the peak of november 10th rsi is 
18,en,RT @mintlayer: Earn MLT for free. It's easy! Just click to effortlessly join our socials on the new platform https://t.co/dECj0u97BP! You c…,earn mlt for free it s easy just click to effortlessly join our socials on the new platform you c 
20,en,"""Fiery Bitcoin"" via @Raretoshi 
Edition 1/2
0.01 L-BTC
The goal of Bitcoin and Fire is to burn everything old and rise higher and higher…
➡️https://t.co/vr1LdDmyuW⬅️
#Bitcoin #bitcoinart #nftcollector #NFTs", fiery bitcoin via edition 1 20 01 l btcthe goal of bitcoin and fire is to burn everything old and rise higher and higher bitcoinart 
