,author,date,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Corey Kilgannon,,Why New York State Is Experiencing a Bitcoin Boom,"Cryptocurrency miners are flocking to New York’s faded industrial towns, prompting concern over the environmental impact of huge computer farms.",https://www.nytimes.com/2021/12/05/nyregion/bitcoin-mining-upstate-new-york.html,https://static01.nyt.com/images/2021/11/25/nyregion/00nybitcoin5/00nybitcoin5-facebookJumbo.jpg,2021-12-06T00:42:28Z,"The plant opening northeast of Niagara Falls this month, in Somerset, N.Y., is part of a $550 million project by Terawulf, a Bitcoin mining company. The project also includes a proposed 150-megawatt … [+1514 chars]",,New York Times
1,Steve Dent,,Nothing's 'Black Edition' brings a modern touch to its funky Ear 1 buds,"Earlier this year, Nothing released a pair of relatively cheap $99 Ear 1 earbuds with a fun transparent case, wireless charging and decent sound quality. Now, the company (created by OnePlus cofounder Carl Pei) has unveiled the new Ear 1 ""Black Edition"" that …",https://www.engadget.com/nothing-unveils-a-black-edition-of-its-ear-1-wireless-buds-144518774.html,https://s.yimg.com/os/creatr-uploaded-images/2021-12/722a9000-52ab-11ec-962a-b075b43f57f3,2021-12-01T14:45:18Z,"Earlier this year, Nothing released a pair of relatively cheap $99 Ear 1 earbuds with a fun transparent case, wireless charging and decent sound quality. Now, the company (created by OnePlus cofounde… [+1395 chars]",engadget,Engadget
2,Jon Porter,,Nothing’s debut earbuds now come in black,Nothing’s Ear 1 earbuds will soon come in black. They’ll be widely available from December 13th at the same price as the original white versions: $99 / £99.,https://www.theverge.com/2021/12/1/22802107/nothing-ear-1-black-edition-price,https://cdn.vox-cdn.com/thumbor/rmLBWDzawqeTLS-e8X13lgVNBd4=/0x551:7695x4580/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/23042763/Nothing__1__black_edition_closed_case.jpg,2021-12-01T12:00:00Z,"Available for the same price, $99, on December 13th
The Ear 1 earbuds and case, now in black.
Image: Nothing
Nothings Ear 1 earbuds, which launched earlier this year in a fetching white and transp… [+1865 chars]",the-verge,The Verge
3,Jonathan Stempel,,Self-proclaimed bitcoin inventor largely prevails in $54 billion bitcoin trial - Reuters.com,A computer scientist who has claimed to be the inventor of bitcoin largely prevailed on Monday in a Florida jury trial over whether the estate of a former business partner deserved half of a bitcoin cache worth now about $54 billion.,https://www.reuters.com/article/us-crypto-currency-lawsuit-idUSKBN2IL25A,https://static.reuters.com/resources/r/?m=02&d=20211206&t=2&i=1583817488&r=LYNXMPEHB510V&w=800,2021-12-06T22:27:00Z,(Reuters) - A computer scientist who has claimed to be the inventor of bitcoin largely prevailed on Monday in a Florida jury trial over whether the estate of a former business partner deserved half o… [+1785 chars],reuters,Reuters
4,,,Bitcoin falls 8.4% to $49228.82 - Reuters,"Bitcoin dropped 8.4% to $49,228.82 at 20:01 GMT on Saturday, losing $4,514.87 from its previous close.",https://www.reuters.com/markets/currencies/bitcoin-falls-84-4922882-2021-12-04/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=60,2021-12-04T20:13:00Z,"Dec 4 (Reuters) - Bitcoin dropped 8.4% to $49,228.82 at 20:01 GMT on Saturday, losing $4,514.87 from its previous close.
Bitcoin, the world's biggest and best-known cryptocurrency, is down 28.7% fro… [+355 chars]",reuters,Reuters
5,Reuters Editorial,,Bitcoin plunges by a fifth - Reuters.com,Bitcoin shed a fifth of its value on Saturday as a combination of profit-taking and macro-economic concerns triggered nearly a billion dollars worth of selling across cryptocurrencies.,https://www.reuters.com/video/watch/idPE$h?now=true,https://ajo.prod.reuters.tv/api/v2/img/61abc29fe4b09631b0e4401a-1638646431577?location=LANDSCAPE,2021-12-04T19:55:07Z,"Posted 
Bitcoin shed a fifth of its value on Saturday as a combination of profit-taking and macro-economic concerns triggered nearly a billion dollars worth of selling across cryptocurrencies.",reuters,Reuters
6,Reuters Editorial,,Bitcoin plunges by a fifth - Reuters.com,Bitcoin shed a fifth of its value on Saturday as a combination of profit-taking and macro-economic concerns triggered nearly a billion dollars worth of selling across cryptocurrencies. Fred Katayama reports.,https://www.reuters.com/video/watch/idOVF6MNO97,https://static.reuters.com/resources/r/?d=20211204&i=OVF6MNO97&r=OVF6MNO97&t=2,2021-12-04T19:35:10Z,"Posted 
Bitcoin shed a fifth of its value on Saturday as a combination of profit-taking and macro-economic concerns triggered nearly a billion dollars worth of selling across cryptocurrencies. Fred … [+16 chars]",reuters,Reuters
7,,,Bitcoin tumbles 5.5% to $53436 - Reuters,"Bitcoin plunged 5.5% to $53,435.9 at 22:04 GMT on Friday, losing $3,112.06 from its previous close.",https://www.reuters.com/markets/us/bitcoin-tumbles-55-53436-2021-12-03/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=60,2021-12-03T22:18:00Z,"Dec 3 (Reuters) - Bitcoin plunged 5.5% to $53,435.9 at 22:04 GMT on Friday, losing $3,112.06 from its previous close.
Bitcoin, the world's biggest and best-known cryptocurrency, is down 22.6% from t… [+350 chars]",reuters,Reuters
8,,,Bitcoin falls 9.2% to $48782 - Reuters,"Bitcoin dropped 9.29% to $48,752.15 at 22:01 GMT on Saturday, losing $4,991.54 from its previous close.",https://www.reuters.com/markets/us/bitcoin-falls-92-48782-2021-12-04/,https://www.reuters.com/resizer/Zs3QkhXWP8WbC4oUMJ-AeHu0gHc=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/AHNVTFBYQZMC3P7KLKDEWPZ5RM.jpg,2021-12-04T22:05:00Z,"A representation of the virtual cryptocurrency Bitcoin is seen in this picture illustration taken October 19, 2021. REUTERS/Edgar SuDec 4 (Reuters) - Bitcoin dropped 9.29% to $48,752.15 at 22:01 GMT … [+489 chars]",reuters,Reuters
9,"Alun John, Tom Wilson",,Bitcoin tumbles 5% after weekend battering - The Globe and Mail,"<ol><li>Bitcoin tumbles 5% after weekend battering  The Globe and Mail
</li><li>Bitcoin price plummets after steep weekend decline  Globalnews.ca
</li><li>The crypto market had a rough weekend --bitcoin falls through $50,000  ForexLive
</li><li>Shock to cr…",https://www.theglobeandmail.com/business/international-business/article-bitcoin-tumbles-5-after-weekend-battering/,https://www.theglobeandmail.com/resizer/OtLT4UXCDTZw9jcyOWneeKqZB8s=/1200x770/filters:quality(80)/cloudfront-us-east-1.images.arcpublishing.com/tgam/BYC6YSSF6ZIWJLNFRHKOE2IQKA.JPG,2021-12-06T12:10:30Z,Bitcoin tumbled almost 5% on Monday as the start of the week offered little respite to the worlds largest cryptocurrency after a bruising weekend where at one point it lost over a fifth of its value.… [+2615 chars],the-globe-and-mail,The Globe And Mail
